A,B,C,D,E,F,G,H,I,J
1.275782685,-1.509288265,-0.420075747,-0.799864903,0.615238382,-0.730487537,-1.503203914,-5.935673682,-8.945480484,-0.500100436
-0.928300065,0.85777801,0.144345678,-0.957545811,-1.463608123,0.174129815,-0.333223459,-0.889856059,-3.399514888,2.184176124
0.318225385,-0.298803412,-0.72088552,0.694931691,0.755766288,-0.802858909,-1.43600013,-2.031177877,-2.448170491,1.13954178
0.601705244,0.485501343,1.980491378,-0.406993618,1.571679101,0.522178208,3.49595577,8.593783817,14.59123574,0.345052998
0.182294633,-0.093147794,0.878823704,-0.483140914,-0.352915928,1.45716245,-0.078852017,1.058965374,0.326514806,-0.520774777
0.560832376,0.096621266,1.087492032,-1.135354366,-0.112661991,0.359627167,0.516633975,-0.494465472,-1.407764259,-0.660606791
-0.56363062,2.043555962,0.102486161,0.765898164,0.048010176,0.173909666,2.034739385,5.884537924,11.3571399,1.501179345
0.0022634,-1.059741753,-0.72204766,-0.77241078,0.714957243,-1.404866938,-1.802433798,-3.961538534,-4.722630171,-3.106667758
-0.812814788,0.976641983,1.244459616,0.780385224,-0.338973304,1.706723112,-0.252686424,4.73883027,6.328861193,0.161552021
-0.531169385,1.816755322,0.924389427,-0.093174615,-1.480784662,1.578514235,-0.324142697,2.311338651,3.210726616,2.206145873
1.581819619,-1.740086462,0.314210972,-1.322602286,-0.742806653,2.223846101,-0.487721756,-1.629253524,-4.567154351,-1.071691441
0.780050674,0.333019128,0.094360066,0.418375578,0.56502465,0.170255174,0.699863466,3.308973961,5.977050745,0.60964169
-1.790842845,-0.030109469,-4.014162918,-1.081223741,-1.449151104,-3.91132545,-5.270533268,-14.64648621,-22.41889283,-1.226267909
-1.381482077,1.399366657,1.613834488,-0.073020976,-0.146033225,1.611187375,2.136527678,6.794395707,10.01732702,1.664744359
-0.272415817,-0.604561371,-0.382088594,-0.273772722,-0.634176855,-2.710268275,-1.231661782,-6.30080057,-7.448935864,-0.421909117
-1.994923332,1.362332799,0.047809026,-1.964219365,-1.900327861,-0.145928584,-0.205662261,-4.52066797,-7.578290466,2.684152982
-0.633457861,-0.466224729,-0.373924653,-0.648821137,0.036760345,-1.28304306,-1.940645441,-4.576138138,-9.330681693,-1.859851397
0.367443693,-0.338868022,1.135112673,-0.777645905,-0.794430761,-0.362420566,0.897975363,1.106530698,1.201571538,-2.359278669
